date,cumulative_central,confirmed,cumulative_upper,cumulative_lower
2020-01-01,1028.3789,0,11935.997,0
2020-01-06,2043.1302,3,24055.824,0
2020-01-13,1560.0875,4,34393.523,0
2020-01-20,0,6,41740.297,0
2020-01-27,0,62,49647.496,0
2020-02-03,0,372,68326.85,0
2020-02-10,0,917,80477.1,0
2020-02-17,0,1781,87612.07,0
2020-02-24,0,2471,74826.914,0
2020-03-02,0,2986,48048.418,0
2020-03-09,0,3635,49501.86,0
2020-03-16,0,6289,72055.69,0
2020-03-23,8936.504,15986,126404.67,0
2020-03-30,55969.844,38270,180136.6,0
2020-04-06,115971.55,75116,240134.45,0
2020-04-13,165925.58,122790,288034.28,0
2020-04-20,203499.2,172747,365697.12,0
2020-04-27,229596.78,217156,403089.8,0
2020-05-04,277922.12,258286,448557,0
2020-05-11,330748,297209,524036.16,0
2020-05-18,393794.6,333374,611745.4,0
2020-05-25,453156.16,368122,699111,0
2020-06-01,537778.4,401490,805097.8,23610.06
2020-06-08,633728.9,436372,891580.6,98669.766
2020-06-15,731376.4,471648,1015577.94,188358.5
2020-06-22,850215.56,509097,1155899.8,276440.94
2020-06-29,964552,545826,1253948.9,359010.44
2020-07-06,1098244.6,582194,1390091,452057.66
2020-07-13,1236018.6,620989,1564358.1,573822.25
2020-07-20,1374411.5,663548,1767320.6,687058.94
2020-07-27,1524804.8,708332,1966854,806770.5
2020-08-03,1660349.9,753157,2149750.2,910181.94
2020-08-10,1798550.2,798846,2329446.8,1012685.2
2020-08-17,1932405.5,843534,2492492,1107774.9
2020-08-24,2051108.6,886245,2658501.5,1192189.4
2020-08-31,2171476.5,927708,2823924,1276470.9
2020-09-07,2292234,967708,2995169.5,1403796.5
2020-09-14,2415649.8,1010950,3172525.5,1511361.2
2020-09-21,2536324.5,1049992,3336968,1604919.6
2020-09-28,2655525.5,1087710,3492242.2,1700111.4
2020-10-05,2785788.2,1125281,3668459.2,1804043
2020-10-12,2920663.2,1163407,3850786,1917577.9
2020-10-19,3066660.8,1201494,4039587,2030461.8
2020-10-26,3211249.8,1244509,4220546.5,2156626.8
2020-11-02,3400139.5,1294007,4451388.5,2325186.2
2020-11-09,3593568.5,1353058,4690447,2496143.8
2020-11-16,3784967.2,1418480,4921461.5,2665971
2020-11-23,3976686,1491955,5161963.5,2845160
2020-11-30,4167535,1568132,5386623.5,3027037.5
2020-12-07,4363696.5,1647577,5617318.5,3209330.8
2020-12-14,4545614,1730039,5842599.5,3375490.2
2020-12-21,4736372.5,1815729,6077045,3548724
2020-12-28,4937021.5,1897520,6324455,3734125.5
2021-01-04,5125216.5,1983819,6556930.5,3897330.5
2021-01-11,5318207,2076170,6801581.5,4065793.2
2021-01-18,5508671,2177140,7054303,4234871.5
2021-01-25,5678055,2280859,7278426.5,4380445
2021-02-01,5821799,2381520,7462216.5,4500529
2021-02-08,5938685,2470812,7612508.5,4594091.5
2021-02-15,6050053,2552308,7763801.5,4682779.5
2021-02-22,6145851,2620744,7912446,4760937.5
2021-03-01,6251711.5,2684750,8071211.5,4849650
2021-03-08,6360408.5,2745233,8234695,4938641
2021-03-15,6473358,2805920,8402167,5035110.5
2021-03-22,6597859.5,2869103,8603970,5151914.5
2021-03-29,6751153,2938189,8819688,5304053.5
2021-04-05,6944413,3013624,9044566,5481665.5
2021-04-12,7141434.5,3094003,9288598,5669349.5
2021-04-19,7376281.5,3179913,9541920,5886311.5
