date,wastewater
2020-05-28,0.18
2020-05-29,0.24
2020-06-01,0.23
2020-06-02,0.23
2020-06-03,0.21
2020-06-04,0.2
2020-06-06,0.2
2020-06-08,0.17
2020-06-09,0.06
2020-06-10,0.17
2020-06-15,0.23
2020-06-16,0.69
2020-06-17,0.1
2020-06-19,0.1
2020-06-22,0.21
2020-06-23,0.1
2020-06-24,0.07
2020-06-28,0.12
2020-06-30,0.02
2020-07-01,0.02
2020-07-03,0.02
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-10,0
2020-08-07,0.17
2020-08-08,0.14
2020-08-09,0.13
2020-08-10,2.66
2020-08-11,2.2
2020-08-12,2.97
2020-08-13,2.79
2020-08-14,2.87
2020-08-17,1.26
2020-08-18,1.06
2020-08-19,1.07
2020-08-20,1.18
2020-08-21,1.08
2020-08-22,1.05
2020-08-24,1
2020-08-25,1.98
2020-08-26,2.45
2020-08-28,2.46
2020-08-31,2.68
2020-09-01,2.42
2020-09-02,2.16
2020-09-03,2.16
2020-09-04,2.45
2020-09-06,2.45
2020-09-07,3.13
2020-09-08,3.81
2020-09-09,4.23
2020-09-10,4.19
2020-09-11,4.2
2020-09-14,4.12
2020-09-15,2.75
2020-09-16,2.34
2020-09-17,2.35
2020-09-18,2.32
2020-09-20,2.42
2020-09-21,4.67
2020-09-22,6
2020-09-23,7.4
2020-09-24,7.55
2020-09-25,7.65
2020-09-28,8.19
2020-09-29,11.44
2020-09-30,12.21
2020-10-01,13.11
2020-10-02,14.19
2020-10-05,15.32
2020-10-06,23.41
2020-10-07,23.96
2020-10-09,23.93
2020-10-12,24.93
2020-10-13,18.21
2020-10-14,18.96
2020-10-15,19.23
2020-10-16,20.82
2020-10-19,20.1
2020-10-20,27.07
2020-10-21,26.74
2020-10-22,26.61
2020-10-23,26
2020-10-26,27.62
2020-10-27,22.24
2020-10-28,19.99
2020-10-29,20.44
2020-10-30,21.4
2020-10-31,21.9
2020-11-02,20.9
2020-11-03,24.5
2020-11-04,25.62
2020-11-06,23.32
2020-11-09,19.76
2020-11-10,20.39
2020-11-11,18.7
2020-11-12,19.91
2020-11-13,22.56
2020-11-16,18.56
2020-11-17,21.32
2020-11-18,20.34
2020-11-19,16.77
2020-11-20,16.62
2020-11-23,20.1
2020-11-24,18.24
2020-11-25,20.03
2020-11-26,20.96
2020-11-27,20.94
2020-11-30,26.51
2020-12-01,28.73
2020-12-02,29.87
2020-12-03,30.57
2020-12-04,29.63
2020-12-06,27.62
2020-12-07,24.3
2020-12-08,22.55
2020-12-09,21.99
2020-12-10,19.01
2020-12-11,18.26
2020-12-14,20.05
2020-12-15,20.42
2020-12-16,19.42
2020-12-17,21.68
2020-12-18,21.29
2020-12-21,22.43
2020-12-29,66.18
2020-12-30,65.66
2020-12-31,68.23
2021-01-04,70.44
2021-01-05,57.49
2021-01-06,57.47
2021-01-07,59.31
2021-01-08,60.13
2021-01-11,52.86
2021-01-12,59.38
2021-01-13,68.99
2021-01-14,68.06
2021-01-15,66.05
2021-01-17,65.84
2021-01-18,60.84
2021-01-19,54.6
2021-01-20,40.6
2021-01-21,37.14
2021-01-22,36.05
2021-01-23,36.17
2021-01-25,32.16
2021-01-26,30.6
2021-01-27,34.38
2021-01-29,34.79
2021-02-01,37.42
2021-02-02,35.32
2021-02-03,40.53
2021-02-04,39.76
2021-02-05,36.88
2021-02-06,36.88
2021-02-08,36.37
2021-02-09,33.14
2021-02-10,27.06
2021-02-11,26.54
2021-02-12,27.97
2021-02-15,28.41
2021-02-16,31.63
2021-02-17,31.92
2021-02-18,34.31
2021-02-19,32.21
2021-02-21,32.09
2021-02-22,22.99
2021-02-23,24.23
2021-02-24,24.62
2021-02-25,21.72
2021-02-26,20.15
2021-02-27,19.79
2021-02-28,19.75
2021-03-01,18.91
2021-03-02,14.68
2021-03-03,14.34
2021-03-04,14.45
2021-03-05,14.32
2021-03-06,14.35
2021-03-07,14.33
2021-03-08,13.8
2021-03-09,14.17
2021-03-10,15.46
2021-03-11,14.42
2021-03-12,14.59
2021-03-15,13.82
2021-03-16,13.71
2021-03-17,12.69
2021-03-18,12.58
2021-03-19,12.37
2021-03-22,12.61
2021-03-23,11.58
2021-03-24,11.27
2021-03-25,10.79
2021-03-26,10.39
2021-03-29,10.79
2021-03-30,10.2
2021-03-31,8.84
2021-04-01,8.4
2021-04-02,8.02
2021-04-05,7.3
2021-04-06,7
2021-04-07,6.96
2021-04-08,6.82
2021-04-09,6.55
2021-04-10,6.54
2021-04-12,6.63
2021-04-13,5.99
2021-04-14,6.01
2021-04-15,6.16
